scenario,month,mau,joins,quits,dau,goldFaucet,goldClaimed,goldOnchainSupply,goldBurnMonth,goldBurnedTotal,goldTreasury,dolEmissionMonth,dolUnlocked,dolCirculating,dolLocked,dolStaked,dolFloatFree,dolBurnMonth,dolBurnedTotal,dolTreasury,inflationMonthlyPct,marketCapUsd,liquidityUsd
bear,1,539,99,60,135,12328200,205470,198716,1617,1617,6754,6250000,61041667,61041650,938958333,12208330,48833320,16,16,4166683,0,305208,24417
bear,2,576,102,65,144,13150080,421214,602704,1728,3345,23980,6250000,77083333,77083300,922916667,15416660,61666640,17,33,8333367,8.824,385416,30833
bear,3,613,106,69,153,13971960,647059,1216680,1839,5184,57063,6250000,93125000,93124948,906875000,18624990,74499959,18,52,12500052,7.194,465625,37250
bear,4,648,109,74,162,14793840,882839,2045087,1944,7128,111495,6250000,109166667,109166595,890833333,21833319,87333276,19,71,16666738,6.073,545833,43667
bear,5,683,113,78,171,15615720,1128387,3092088,2049,9177,192881,6250000,125208333,125208242,874791667,25041648,100166593,20,92,20833425,5.254,626041,50083
bear,6,717,116,82,179,16346280,1382019,4360103,2151,11328,306885,6250000,141250000,141249887,858750000,28249977,112999909,22,113,25000113,4.63,706249,56500
bear,7,750,119,86,188,17168160,1645121,5852843,2250,13578,459265,6250000,162291667,162291531,837708333,32458306,129833225,23,136,29166802,4.005,811458,64917
bear,8,782,122,90,196,17898720,1916014,7572290,2346,15924,655833,6250000,183333333,183333174,816666667,36666635,146666539,23,159,33333493,3.529,916666,73333
bear,9,813,125,94,203,18537960,2193047,9518764,2439,18363,902405,6250000,204375000,204374816,795625000,40874963,163499853,24,184,37500184,3.155,1021874,81750
bear,10,843,128,98,211,19268520,2477638,11693963,2529,20892,1204844,6250000,225416667,225416458,774583333,45083292,180333166,25,209,41666876,2.852,1127082,90167
bear,11,873,131,101,218,19907760,2768140,14097931,2619,23511,1569016,6250000,246458333,246458098,753541667,49291620,197166479,26,235,45833568,2.602,1232290,98583
bear,12,901,133,105,225,20547000,3064454,16730623,2703,26214,2000778,6250000,267500000,267499738,732500000,53499948,213999790,27,262,50000262,2.392,1337499,107000
bear,13,929,136,108,232,21186240,3366484,19591892,2787,29001,2505993,4687500,290868056,290867766,709131944,58173553,232694212,28,290,54166957,1.638,1454339,116347
bear,14,957,139,111,239,21825480,3674134,22681504,2871,31872,3090515,4687500,314236111,314235792,685763889,62847158,251388634,29,319,58333652,1.514,1571179,125694
bear,15,983,141,115,246,22464720,3987310,25999145,2949,34821,3760184,4687500,337604167,337603818,662395833,67520764,270083055,29,348,62500348,1.408,1688019,135042
bear,16,1008,143,118,252,23012640,4304399,29542932,3024,37845,4520796,4687500,360972222,360971844,639027778,72194369,288777475,30,378,66667045,1.316,1804859,144389
bear,17,1033,146,121,258,23560560,4625335,33310961,3099,40944,5378102,4687500,384340278,384339868,615659722,76867974,307471895,31,409,70833743,1.235,1921699,153736
bear,18,1057,148,124,264,24108480,4950054,37301319,3171,44115,6337799,4687500,407708333,407699965,592291667,81539993,326159972,7959,8369,75002027,1.163,2038500,163080
bear,19,1080,150,127,270,24656400,5278493,41512077,3240,47355,7405534,4687500,431076389,431059888,568923611,86211978,344847910,8132,16501,79170346,1.099,2155299,172424
bear,20,1102,152,130,276,25204320,5610590,45941295,3306,50661,8586907,4687500,454444444,454419645,545555556,90883929,363535716,8298,24799,83338698,1.042,2272098,181768
bear,21,1124,154,132,281,25660920,5944763,50585534,3372,54033,9887430,4687500,477812500,477779237,522187500,95555847,382223390,8464,33263,87507085,0.991,2388896,191112
bear,22,1145,156,135,286,26117520,6280975,55441412,3435,57468,11312528,4687500,501180556,501138671,498819444,100227734,400910937,8622,41885,91675503,0.944,2505693,200455
bear,23,1166,158,137,292,26665440,6620716,60507077,3498,60966,12867579,4687500,524548611,524497946,475451389,104899589,419598357,8780,50665,95843954,0.902,2622490,209799
bear,24,1186,160,140,297,27122040,6962405,65779187,3558,64524,14557874,4687500,547916667,547857071,452083333,109571414,438285657,8931,59595,100012435,0.863,2739285,219143
bear,25,1206,162,142,302,27578640,7306009,71254448,3618,68142,16388622,3515625,566987847,566919171,433012153,113383834,453535337,9081,68676,104180947,0.624,2834596,226768
bear,26,1224,163,145,306,27943920,7649974,76928140,3672,71814,18364904,3515625,586059028,585981135,413940972,117196227,468784908,9217,77893,108349486,0.604,2929906,234392
bear,27,1242,165,147,311,28400520,7995817,82797131,3726,75540,20491729,3515625,605130208,605042963,394869792,121008593,484034370,9352,87245,112518053,0.584,3025215,242017
bear,28,1259,166,149,315,28765800,8341983,88856859,3777,79317,22773984,3515625,624201389,624104663,375798611,124820933,499283731,9480,96726,116686646,0.566,3120523,249642
bear,29,1276,168,151,319,29131080,8688468,95102866,3828,83145,25216445,3515625,643272569,643166235,356727431,128633247,514532988,9608,106334,120855265,0.55,3215831,257266
bear,30,1292,169,153,323,29496360,9035266,101530803,3876,87021,27823775,3515625,662343750,662227687,337656250,132445537,529782150,9729,116063,125023909,0.534,3311138,264891
bear,31,1308,171,155,327,29861640,9382372,108136422,3924,90945,30600528,3515625,676414931,676289019,323585069,135257804,541031215,9849,125912,129192577,0.523,3381445,270516
bear,32,1323,172,157,331,30226920,9729781,114915579,3969,94914,33551152,3515625,690486111,690350237,309513889,138070047,552280190,9962,135874,133361267,0.512,3451751,276140
bear,33,1338,174,159,335,30592200,10077488,121864227,4014,98928,36679993,3515625,704557292,704411342,295442708,140882268,563529074,10075,145949,137529981,0.502,3522057,281765
